week_start,iso_year,iso_week,week_index,state,district,rainfall_mm,turbidity_NTU,sanitation_index,temp_C,DO_mg_L,pH,conductivity_uS_cm,BOD_mg_L,nitrate_mg_L,fecal_coliform_MPN_100mL,total_coliform_MPN_100mL,cases_week,outbreak_label
04-01-2021,2021,1,2021-W01,Assam,Kamrup Metro,6.6,2.53,0.52,25.5,4.56,6.81,379,2.2,4.44,2436,2823,53,High
04-01-2021,2021,1,2021-W01,Assam,Dibrugarh,2.7,5.84,0.58,27.3,6.7,8.17,344,7.69,4.93,967,3243,15,High
04-01-2021,2021,1,2021-W01,Assam,Jorhat,11.4,3.04,0.51,30.6,1.5,6.62,157.5,2.68,3.13,1344,1913,18,High
04-01-2021,2021,1,2021-W01,Assam,Nagaon,7.3,5.4,0.53,31.8,7.16,7.56,79.2,23.25,2.89,1880,3151,24,High
04-01-2021,2021,1,2021-W01,Meghalaya,East Khasi Hills,2.6,0.5,0.65,17.6,4.8,8.51,145.1,1.64,0.59,206,1179,14,Medium
04-01-2021,2021,1,2021-W01,Meghalaya,West Khasi Hills,3.9,2.5,0.41,13.7,6.11,8.17,32.9,2.04,4.84,279,1754,0,Low
04-01-2021,2021,1,2021-W01,Meghalaya,Ri-Bhoi,10.5,2.07,0.61,12.3,7.75,6.64,158.7,2.43,4.46,400,1255,0,Low
04-01-2021,2021,1,2021-W01,Meghalaya,South West Garo Hills,4.3,3.96,0.62,14.2,7.24,7.84,163.2,2.59,3.76,359,1259,1,Low
04-01-2021,2021,1,2021-W01,Manipur,Imphal West,4.2,1.71,0.68,18.9,7.37,7.21,150.7,3.66,0.84,22,93,12,Medium
04-01-2021,2021,1,2021-W01,Manipur,Imphal East,1.3,2.96,0.47,21.5,6.13,7.08,119.4,4.08,1.04,22,81,6,Medium
04-01-2021,2021,1,2021-W01,Manipur,Churachandpur,1.3,0.5,0.35,20.8,6.16,7.11,517,3.73,0.24,13,54,4,Medium
04-01-2021,2021,1,2021-W01,Manipur,Thoubal,11,3.06,0.73,27.5,6.34,7.11,132.5,2.92,0.65,25,89,0,Low
04-01-2021,2021,1,2021-W01,Mizoram,Aizawl,8.1,0.5,0.56,27.8,3.48,6.89,190.9,1.43,0.75,1326,686,40,High
04-01-2021,2021,1,2021-W01,Mizoram,Lunglei,2,1.24,0.42,30.9,3.6,6.39,113.1,1.35,0.51,915,964,18,High
04-01-2021,2021,1,2021-W01,Mizoram,Kolasib,6.5,4.14,0.75,31.7,3.9,6.57,159.2,1.47,0.64,1377,1277,16,High
04-01-2021,2021,1,2021-W01,Mizoram,Serchhip,9,1.3,0.78,30,3.24,7.65,288.1,1.27,0.52,1982,1059,23,High
04-01-2021,2021,1,2021-W01,Nagaland,Kohima,7.9,2.22,0.69,33.9,5.58,7.57,226,2.37,5.94,619,559,13,Medium
04-01-2021,2021,1,2021-W01,Nagaland,Dimapur,0.6,0.5,0.59,23.6,5.49,7.04,145.5,1.22,4.21,256,1242,1,Low
04-01-2021,2021,1,2021-W01,Nagaland,Mokokchung,3.6,2.17,0.7,30.8,5.63,7.43,233,1.25,1.24,510,1675,8,Medium
04-01-2021,2021,1,2021-W01,Nagaland,Wokha,6.9,0.5,0.61,30.9,5.53,6.84,217.5,2.37,4.47,113,689,0,Low
04-01-2021,2021,1,2021-W01,Tripura,West Tripura,2.3,1.86,0.57,22.4,5.04,7.74,215.4,2.24,0.64,34,221,0,Low
04-01-2021,2021,1,2021-W01,Tripura,North Tripura,10.3,1.49,0.82,27.2,4.88,6.45,183.9,2.2,0.59,36,233,1,Medium
04-01-2021,2021,1,2021-W01,Tripura,South Tripura,9,3.58,0.55,26.7,5.01,7.09,226.2,1.55,0.77,31,205,0,Low
04-01-2021,2021,1,2021-W01,Tripura,Sepahijala,4.8,1.87,0.76,29.2,4.86,7.56,214.6,1.69,0.65,32,230,0,Low
04-01-2021,2021,1,2021-W01,Sikkim,East Sikkim,5.7,2.77,0.68,12.4,8.4,7.34,36.5,1.84,0.29,17,72,0,Low
04-01-2021,2021,1,2021-W01,Sikkim,North Sikkim,1,2.91,0.58,11.6,8.49,6.85,64.5,1.78,0.15,27,132,0,Low
04-01-2021,2021,1,2021-W01,Sikkim,West Sikkim,5.3,1.48,0.5,13.5,8.09,6.84,108.6,1.76,0.28,35,57,0,Low
